127.0.0.1, 2014-07-12 23:58:02, GET, /, HTTP/1.1, 303, 0.000824
127.0.0.1, 2014-07-12 23:58:03, GET, /, HTTP/1.1, 303, 0.395664
127.0.0.1, 2014-07-12 23:58:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.908335
127.0.0.1, 2014-07-12 23:58:04, GET, /welcome/default/index, HTTP/1.1, 200, 1.772391
127.0.0.1, 2014-07-12 23:58:12, GET, /admin/default/site, HTTP/1.1, 303, 0.226840
127.0.0.1, 2014-07-12 23:58:12, GET, /admin/default/index, HTTP/1.1, 200, 0.127470
127.0.0.1, 2014-07-12 23:58:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2014-07-12 23:58:14, POST, /admin/default/index, HTTP/1.1, 303, 0.064400
127.0.0.1, 2014-07-12 23:58:14, GET, /admin/default/site, HTTP/1.1, 200, 0.088086
127.0.0.1, 2014-07-12 23:58:14, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 304, 0.001545
127.0.0.1, 2014-07-12 23:58:14, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 304, 0.001350
127.0.0.1, 2014-07-12 23:58:14, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000405
127.0.0.1, 2014-07-12 23:58:15, POST, /admin/default/check_version, HTTP/1.1, 200, 0.262503
127.0.0.1, 2014-07-12 23:58:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2014-07-12 23:58:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000307
127.0.0.1, 2014-07-12 23:58:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000282
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/default/index, HTTP/1.1, 200, 1.048749
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000495
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.000490
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 200, 0.000493
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 200, 0.000339
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 200, 0.000310
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000313
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000327
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000315
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000467
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000440
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/js/share.js, HTTP/1.1, 200, 0.000403
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/images/twitter.png, HTTP/1.1, 200, 0.000445
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/images/facebook.png, HTTP/1.1, 200, 0.000324
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/images/gplus-32.png, HTTP/1.1, 200, 0.000301
127.0.0.1, 2014-07-12 23:58:19, GET, /py2manager/static/images/favicon.ico, HTTP/1.1, 200, 0.000554
127.0.0.1, 2014-07-12 23:58:25, GET, /admin/default/design/py2manager, HTTP/1.1, 200, 0.146099
127.0.0.1, 2014-07-12 23:58:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000327
127.0.0.1, 2014-07-12 23:58:43, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.070750
127.0.0.1, 2014-07-13 00:01:06, GET, /py2manager/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000465
127.0.0.1, 2014-07-13 00:01:06, GET, /py2manager/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000438
127.0.0.1, 2014-07-13 00:01:08, GET, /py2manager/default/user/register, HTTP/1.1, 200, 0.030039
127.0.0.1, 2014-07-13 00:01:21, GET, /py2manager/default/user/register, HTTP/1.1, 200, 0.045565
127.0.0.1, 2014-07-13 00:01:26, GET, /py2manager/default/user/register, HTTP/1.1, 200, 0.034447
127.0.0.1, 2014-07-13 00:01:32, GET, /py2manager/default/user/register, HTTP/1.1, 200, 0.030417
127.0.0.1, 2014-07-13 00:01:34, GET, /py2manager/default/index, HTTP/1.1, 200, 0.031151
127.0.0.1, 2014-07-13 00:01:36, GET, /py2manager/default/user/register, HTTP/1.1, 200, 0.035829
127.0.0.1, 2014-07-13 00:02:00, POST, /py2manager/default/user/register, HTTP/1.1, 303, 0.258975
127.0.0.1, 2014-07-13 00:02:00, GET, /py2manager/default/index, HTTP/1.1, 200, 0.033775
127.0.0.1, 2014-07-13 00:02:34, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.059921
127.0.0.1, 2014-07-13 00:02:46, GET, /py2manager/appadmin/select/db, HTTP/1.1, 200, 0.050538
127.0.0.1, 2014-07-13 00:02:49, GET, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.048100
127.0.0.1, 2014-07-13 00:03:23, POST, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.369671
127.0.0.1, 2014-07-13 00:03:26, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.047654
127.0.0.1, 2014-07-13 00:03:27, GET, /py2manager/appadmin/select/db, HTTP/1.1, 200, 0.054878
127.0.0.1, 2014-07-13 00:03:29, GET, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.052729
127.0.0.1, 2014-07-13 00:05:36, POST, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.295834
127.0.0.1, 2014-07-13 00:05:41, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.049126
127.0.0.1, 2014-07-13 02:03:10, GET, /py2manager/, HTTP/1.1, 200, 0.038449
127.0.0.1, 2014-07-13 02:03:36, GET, /user/login, HTTP/1.1, 404, 0.000504
127.0.0.1, 2014-07-13 02:03:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2014-07-13 02:03:38, GET, /user/login, HTTP/1.1, 404, 0.000468
127.0.0.1, 2014-07-13 02:03:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2014-07-13 02:03:40, GET, /, HTTP/1.1, 303, 0.000507
127.0.0.1, 2014-07-13 02:03:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.025353
127.0.0.1, 2014-07-13 02:03:45, GET, /admin/default/site, HTTP/1.1, 303, 0.005971
127.0.0.1, 2014-07-13 02:03:45, GET, /admin/default/index, HTTP/1.1, 200, 0.041029
127.0.0.1, 2014-07-13 02:03:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2014-07-13 02:03:47, POST, /admin/default/index, HTTP/1.1, 303, 0.041687
127.0.0.1, 2014-07-13 02:03:47, GET, /admin/default/site, HTTP/1.1, 200, 0.062446
127.0.0.1, 2014-07-13 02:03:48, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 304, 0.000385
127.0.0.1, 2014-07-13 02:03:48, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 304, 0.000420
127.0.0.1, 2014-07-13 02:03:48, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000404
127.0.0.1, 2014-07-13 02:03:48, POST, /admin/default/check_version, HTTP/1.1, 200, 0.219235
